record_id,title,verification_status,collection_number,primary_source_url,uncertainties
ARED-GH-00079,"Advertisement for Ghana Railway, Ghana",verified,2018.620,https://clevelandart.org/art/2018.620,
ARED-GH-00080,"Akan Fisherman, Ghana: Hope",verified,2010.488,https://clevelandart.org/art/2010.488,
ARED-GH-00081,Prestige cloth (kete or kente),verified,2023.9,https://clevelandart.org/art/2023.9,
ARED-GH-00082,"Akan Fisherman, Ghana: Totem",verified,2010.487,https://clevelandart.org/art/2010.487,
ARED-GH-00083,"Akan Fisherman, Ghana: Return",verified,2010.489,https://clevelandart.org/art/2010.489,
ARED-GH-00084,"Akan Fisherman, Ghana: Mercy",verified,2010.490,https://clevelandart.org/art/2010.490,
ARED-GH-00085,"Ovaltine Advertisement, Ghana",verified,2018.621,https://clevelandart.org/art/2018.621,
ARED-GH-00086,"Advertisement for Al Schnapps, Ghana",verified,2018.619,https://clevelandart.org/art/2018.619,
ARED-GH-00087,"Oil Refinery, Tema, Ghana",verified,2022.409,https://clevelandart.org/art/2022.409,
ARED-GH-00088,"Man Standing Behind Shrine Dedicated to Dr. Kwame Nkruhmah, the First Prime Minister of Ghana",verified,2018.526,https://clevelandart.org/art/2018.526,
