record_id,reason
met:229639,failed Ghana relevance filter
met:229640,failed Ghana relevance filter
met:229641,failed Ghana relevance filter
met:229642,failed Ghana relevance filter
met:229643,failed Ghana relevance filter
met:229644,failed Ghana relevance filter
met:229645,failed Ghana relevance filter
met:229646,failed Ghana relevance filter
met:229647,failed Ghana relevance filter
met:229648,failed Ghana relevance filter
met:229649,failed Ghana relevance filter
met:229650,failed Ghana relevance filter
met:229651,failed Ghana relevance filter
met:229652,failed Ghana relevance filter
met:229653,failed Ghana relevance filter
met:229654,failed Ghana relevance filter
met:229655,failed Ghana relevance filter
met:22986,failed Ghana relevance filter
met:229993,failed Ghana relevance filter
met:23054,failed Ghana relevance filter
met:23080,failed Ghana relevance filter
met:23084,failed Ghana relevance filter
met:23087,failed Ghana relevance filter
met:23094,failed Ghana relevance filter
met:230969,failed Ghana relevance filter
met:231141,failed Ghana relevance filter
met:231255,failed Ghana relevance filter
met:231675,failed Ghana relevance filter
met:231676,failed Ghana relevance filter
met:231677,failed Ghana relevance filter
met:231678,failed Ghana relevance filter
met:231679,failed Ghana relevance filter
met:231681,failed Ghana relevance filter
met:231682,failed Ghana relevance filter
met:231683,failed Ghana relevance filter
met:231684,failed Ghana relevance filter
met:231685,failed Ghana relevance filter
met:231686,failed Ghana relevance filter
met:231697,failed Ghana relevance filter
met:231698,failed Ghana relevance filter
met:231699,failed Ghana relevance filter
met:231700,failed Ghana relevance filter
met:231701,failed Ghana relevance filter
met:231702,failed Ghana relevance filter
met:231703,failed Ghana relevance filter
met:231704,failed Ghana relevance filter
met:231782,failed Ghana relevance filter
met:231788,failed Ghana relevance filter
met:232047,failed Ghana relevance filter
met:23205,failed Ghana relevance filter
met:23206,failed Ghana relevance filter
met:23210,failed Ghana relevance filter
met:23211,failed Ghana relevance filter
met:23212,failed Ghana relevance filter
met:23213,failed Ghana relevance filter
met:232147,failed Ghana relevance filter
met:232222,failed Ghana relevance filter
met:23263,failed Ghana relevance filter
met:23335,failed Ghana relevance filter
met:236063,failed Ghana relevance filter
met:236747,failed Ghana relevance filter
met:236773,failed Ghana relevance filter
met:236980,failed Ghana relevance filter
met:236986,failed Ghana relevance filter
met:236993,failed Ghana relevance filter
met:237005,failed Ghana relevance filter
met:237007,failed Ghana relevance filter
met:237045,failed Ghana relevance filter
met:237048,failed Ghana relevance filter
met:237049,failed Ghana relevance filter
met:237054,failed Ghana relevance filter
met:237244,failed Ghana relevance filter
met:237246,failed Ghana relevance filter
met:237451,failed Ghana relevance filter
met:238822,failed Ghana relevance filter
met:239478,failed Ghana relevance filter
met:242328,failed Ghana relevance filter
met:242989,failed Ghana relevance filter
met:242990,failed Ghana relevance filter
met:24402,failed Ghana relevance filter
met:24426,failed Ghana relevance filter
met:245304,failed Ghana relevance filter
met:246685,failed Ghana relevance filter
met:248003,failed Ghana relevance filter
met:24806,failed Ghana relevance filter
met:248206,failed Ghana relevance filter
met:24849,failed Ghana relevance filter
met:248500,failed Ghana relevance filter
met:24921,failed Ghana relevance filter
met:24930,failed Ghana relevance filter
met:24985,failed Ghana relevance filter
met:250914,failed Ghana relevance filter
met:250915,failed Ghana relevance filter
met:250917,failed Ghana relevance filter
met:250945,failed Ghana relevance filter
met:2510,failed Ghana relevance filter
met:252884,failed Ghana relevance filter
met:254557,failed Ghana relevance filter
met:254842,failed Ghana relevance filter
met:255122,failed Ghana relevance filter
met:255243,failed Ghana relevance filter
met:255286,failed Ghana relevance filter
met:255531,failed Ghana relevance filter
met:255693,failed Ghana relevance filter
met:255694,failed Ghana relevance filter
met:255772,failed Ghana relevance filter
met:255973,failed Ghana relevance filter
met:256061,failed Ghana relevance filter
met:256122,failed Ghana relevance filter
met:256135,failed Ghana relevance filter
met:256184,failed Ghana relevance filter
met:256191,failed Ghana relevance filter
met:256207,failed Ghana relevance filter
met:256208,failed Ghana relevance filter
met:256220,failed Ghana relevance filter
met:256335,failed Ghana relevance filter
met:256854,failed Ghana relevance filter
met:256974,failed Ghana relevance filter
met:257817,failed Ghana relevance filter
met:258449,failed Ghana relevance filter
met:262275,failed Ghana relevance filter
met:26442,failed Ghana relevance filter
met:26449,failed Ghana relevance filter
met:26524,failed Ghana relevance filter
met:26552,failed Ghana relevance filter
met:26555,failed Ghana relevance filter
met:26569,failed Ghana relevance filter
met:26585,failed Ghana relevance filter
met:266125,failed Ghana relevance filter
met:266255,failed Ghana relevance filter
met:266712,failed Ghana relevance filter
met:266713,failed Ghana relevance filter
met:26702,failed Ghana relevance filter
met:26810,failed Ghana relevance filter
met:26974,failed Ghana relevance filter
met:270354,failed Ghana relevance filter
met:27178,failed Ghana relevance filter
met:27193,failed Ghana relevance filter
met:27194,failed Ghana relevance filter
met:27198,failed Ghana relevance filter
met:27207,failed Ghana relevance filter
met:27236,failed Ghana relevance filter
met:27273,failed Ghana relevance filter
met:27274,failed Ghana relevance filter
met:27275,failed Ghana relevance filter
met:27276,failed Ghana relevance filter
met:27277,failed Ghana relevance filter
met:27640,failed Ghana relevance filter
met:27641,failed Ghana relevance filter
met:27642,failed Ghana relevance filter
met:27665,failed Ghana relevance filter
met:27964,failed Ghana relevance filter
met:282685,failed Ghana relevance filter
met:283132,failed Ghana relevance filter
met:283245,failed Ghana relevance filter
met:285118,failed Ghana relevance filter
met:285119,failed Ghana relevance filter
met:285120,failed Ghana relevance filter
met:285121,failed Ghana relevance filter
met:285146,failed Ghana relevance filter
met:28864,failed Ghana relevance filter
met:29300,failed Ghana relevance filter
met:29503,failed Ghana relevance filter
met:29594,failed Ghana relevance filter
met:29617,failed Ghana relevance filter
met:307598,failed Ghana relevance filter
met:307599,failed Ghana relevance filter
met:307905,failed Ghana relevance filter
met:307944,failed Ghana relevance filter
met:308245,failed Ghana relevance filter
met:308415,failed Ghana relevance filter
met:30858,failed Ghana relevance filter
met:309227,failed Ghana relevance filter
met:309284,failed Ghana relevance filter
met:309404,failed Ghana relevance filter
met:309411,failed Ghana relevance filter
met:309414,failed Ghana relevance filter
met:309519,failed Ghana relevance filter
met:309529,failed Ghana relevance filter
met:309540,failed Ghana relevance filter
met:309767,failed Ghana relevance filter
met:309769,failed Ghana relevance filter
met:309789,failed Ghana relevance filter
met:309861,failed Ghana relevance filter
met:309876,failed Ghana relevance filter
met:309878,failed Ghana relevance filter
met:309906,failed Ghana relevance filter
met:309910,failed Ghana relevance filter
met:309938,failed Ghana relevance filter
met:309943,failed Ghana relevance filter
met:309944,failed Ghana relevance filter
met:309952,failed Ghana relevance filter
met:309958,failed Ghana relevance filter
met:309959,failed Ghana relevance filter
met:309960,failed Ghana relevance filter
met:309981,failed Ghana relevance filter
met:309987,failed Ghana relevance filter
met:310063,failed Ghana relevance filter
met:310070,failed Ghana relevance filter
met:310071,failed Ghana relevance filter
met:310072,failed Ghana relevance filter
met:310073,failed Ghana relevance filter
met:310166,failed Ghana relevance filter
met:310170,failed Ghana relevance filter
met:310174,failed Ghana relevance filter
met:310180,failed Ghana relevance filter
met:310259,failed Ghana relevance filter
met:310266,failed Ghana relevance filter
met:310272,failed Ghana relevance filter
met:310280,failed Ghana relevance filter
met:310281,failed Ghana relevance filter
met:310282,failed Ghana relevance filter
met:310283,failed Ghana relevance filter
met:310286,failed Ghana relevance filter
met:310345,failed Ghana relevance filter
met:310356,failed Ghana relevance filter
met:310364,failed Ghana relevance filter
met:310365,failed Ghana relevance filter
met:310384,failed Ghana relevance filter
met:310453,failed Ghana relevance filter
met:310454,failed Ghana relevance filter
met:310456,failed Ghana relevance filter
met:310459,failed Ghana relevance filter
met:310467,failed Ghana relevance filter
met:310471,failed Ghana relevance filter
met:310472,failed Ghana relevance filter
met:310473,failed Ghana relevance filter
met:310475,failed Ghana relevance filter
met:310477,failed Ghana relevance filter
met:310480,failed Ghana relevance filter
met:310489,failed Ghana relevance filter
met:310495,failed Ghana relevance filter
met:310509,failed Ghana relevance filter
met:310513,failed Ghana relevance filter
met:310515,failed Ghana relevance filter
met:310517,failed Ghana relevance filter
met:310520,failed Ghana relevance filter
met:310522,failed Ghana relevance filter
met:310524,failed Ghana relevance filter
met:310532,failed Ghana relevance filter
met:310533,failed Ghana relevance filter
met:310539,failed Ghana relevance filter
met:310540,failed Ghana relevance filter
met:310542,failed Ghana relevance filter
met:310550,failed Ghana relevance filter
met:310551,failed Ghana relevance filter
met:310552,failed Ghana relevance filter
met:310554,failed Ghana relevance filter
met:310555,failed Ghana relevance filter
met:310563,failed Ghana relevance filter
met:310565,failed Ghana relevance filter
met:310568,failed Ghana relevance filter
met:310583,failed Ghana relevance filter
met:310584,failed Ghana relevance filter
met:310585,failed Ghana relevance filter
met:310586,failed Ghana relevance filter
met:310589,failed Ghana relevance filter
met:310592,failed Ghana relevance filter
met:310599,failed Ghana relevance filter
met:310600,failed Ghana relevance filter
met:310601,failed Ghana relevance filter
met:310607,failed Ghana relevance filter
met:310616,failed Ghana relevance filter
met:310619,failed Ghana relevance filter
met:310644,failed Ghana relevance filter
met:310648,failed Ghana relevance filter
met:310652,failed Ghana relevance filter
met:310655,failed Ghana relevance filter
met:310658,failed Ghana relevance filter
met:310659,failed Ghana relevance filter
met:310660,failed Ghana relevance filter
met:310661,failed Ghana relevance filter
met:310663,failed Ghana relevance filter
met:310671,failed Ghana relevance filter
met:310674,failed Ghana relevance filter
met:310681,failed Ghana relevance filter
met:310686,failed Ghana relevance filter
met:310687,failed Ghana relevance filter
met:310692,failed Ghana relevance filter
met:310698,failed Ghana relevance filter
met:310704,failed Ghana relevance filter
met:310705,failed Ghana relevance filter
met:310720,failed Ghana relevance filter
met:310732,failed Ghana relevance filter
met:310733,failed Ghana relevance filter
met:310734,failed Ghana relevance filter
met:310740,failed Ghana relevance filter
met:310744,failed Ghana relevance filter
met:310747,failed Ghana relevance filter
met:310750,failed Ghana relevance filter
met:310752,failed Ghana relevance filter
met:310753,failed Ghana relevance filter
met:310754,failed Ghana relevance filter
met:310757,failed Ghana relevance filter
met:310758,failed Ghana relevance filter
met:310763,failed Ghana relevance filter
met:310764,failed Ghana relevance filter
met:310766,failed Ghana relevance filter
met:310770,failed Ghana relevance filter
met:310775,failed Ghana relevance filter
met:310776,failed Ghana relevance filter
met:310781,failed Ghana relevance filter
met:310782,failed Ghana relevance filter
met:310790,failed Ghana relevance filter
met:310799,failed Ghana relevance filter
met:310800,failed Ghana relevance filter
met:310803,failed Ghana relevance filter
met:310806,failed Ghana relevance filter
met:310808,failed Ghana relevance filter
met:310810,failed Ghana relevance filter
met:310813,failed Ghana relevance filter
met:310818,failed Ghana relevance filter
met:310825,failed Ghana relevance filter
met:310826,failed Ghana relevance filter
met:310830,failed Ghana relevance filter
met:310841,failed Ghana relevance filter
met:310844,failed Ghana relevance filter
met:310848,failed Ghana relevance filter
met:310850,failed Ghana relevance filter
met:310853,failed Ghana relevance filter
met:310855,failed Ghana relevance filter
met:310863,failed Ghana relevance filter
met:310864,failed Ghana relevance filter
met:310865,failed Ghana relevance filter
met:310866,failed Ghana relevance filter
met:310867,failed Ghana relevance filter
met:310870,failed Ghana relevance filter
met:310897,failed Ghana relevance filter
met:310910,failed Ghana relevance filter
met:310917,failed Ghana relevance filter
met:310920,failed Ghana relevance filter
met:310924,failed Ghana relevance filter
met:310925,failed Ghana relevance filter
met:310927,failed Ghana relevance filter
met:310929,failed Ghana relevance filter
met:310930,failed Ghana relevance filter
met:310934,failed Ghana relevance filter
met:310936,failed Ghana relevance filter
met:310937,failed Ghana relevance filter
met:310944,failed Ghana relevance filter
met:310948,failed Ghana relevance filter
met:310949,failed Ghana relevance filter
met:310950,failed Ghana relevance filter
met:310951,failed Ghana relevance filter
met:310963,failed Ghana relevance filter
met:310964,failed Ghana relevance filter
met:310969,failed Ghana relevance filter
met:310977,failed Ghana relevance filter
met:310982,failed Ghana relevance filter
met:310984,failed Ghana relevance filter
met:310988,failed Ghana relevance filter
met:310992,failed Ghana relevance filter
met:310995,failed Ghana relevance filter
met:310997,failed Ghana relevance filter
met:310999,failed Ghana relevance filter
met:311002,failed Ghana relevance filter
met:311007,failed Ghana relevance filter
met:311010,failed Ghana relevance filter
met:311021,failed Ghana relevance filter
met:311032,failed Ghana relevance filter
met:311033,failed Ghana relevance filter
met:311034,failed Ghana relevance filter
met:311035,failed Ghana relevance filter
met:311038,failed Ghana relevance filter
met:311046,failed Ghana relevance filter
met:311052,failed Ghana relevance filter
met:311053,failed Ghana relevance filter
met:311054,failed Ghana relevance filter
met:311055,failed Ghana relevance filter
met:311066,failed Ghana relevance filter
met:311067,failed Ghana relevance filter
met:311072,failed Ghana relevance filter
met:311086,failed Ghana relevance filter
met:311089,failed Ghana relevance filter
met:311090,failed Ghana relevance filter
met:311091,failed Ghana relevance filter
met:311102,failed Ghana relevance filter
met:311111,failed Ghana relevance filter
met:311150,failed Ghana relevance filter
met:311155,failed Ghana relevance filter
met:311162,failed Ghana relevance filter
met:311163,failed Ghana relevance filter
met:311166,failed Ghana relevance filter
met:311167,failed Ghana relevance filter
met:311173,failed Ghana relevance filter
met:311174,failed Ghana relevance filter
met:311181,failed Ghana relevance filter
met:311183,failed Ghana relevance filter
met:311197,failed Ghana relevance filter
met:311199,failed Ghana relevance filter
met:311206,failed Ghana relevance filter
met:311207,failed Ghana relevance filter
met:311211,failed Ghana relevance filter
met:311225,failed Ghana relevance filter
met:311237,failed Ghana relevance filter
met:311240,failed Ghana relevance filter
met:311242,failed Ghana relevance filter
met:311243,failed Ghana relevance filter
met:311253,failed Ghana relevance filter
met:311262,failed Ghana relevance filter
met:311266,failed Ghana relevance filter
met:311267,failed Ghana relevance filter
met:311273,failed Ghana relevance filter
met:311274,failed Ghana relevance filter
met:311276,failed Ghana relevance filter
met:311294,failed Ghana relevance filter
met:311306,failed Ghana relevance filter
met:311313,failed Ghana relevance filter
met:311318,failed Ghana relevance filter
met:311323,failed Ghana relevance filter
met:311324,failed Ghana relevance filter
met:311325,failed Ghana relevance filter
met:311328,failed Ghana relevance filter
met:311329,failed Ghana relevance filter
met:311355,failed Ghana relevance filter
